,price,carat,depth,table,x,y,z,city,clarity,color,cut
0,4268,1.21,62.4,58.0,6.83,6.79,4.25,Dubai,VS2,J,Premium
1,505,0.32,63.0,57.0,4.35,4.38,2.75,Kimberly,VS2,H,Very Good
2,2686,0.71,65.5,55.0,5.62,5.53,3.65,Las Vegas,VS1,G,Fair
3,738,0.41,63.8,56.0,4.68,4.72,3.0,Kimberly,SI1,D,Good
4,4882,1.02,60.5,59.0,6.55,6.51,3.95,Dubai,SI1,G,Ideal
5,9057,1.52,61.2,57.0,7.45,7.39,4.54,Tel Aviv,SI2,F,Ideal
6,8608,1.52,62.3,58.0,7.32,7.35,4.57,Kimberly,VS1,J,Ideal
7,557,0.31,61.8,54.2,4.33,4.37,2.69,Zurich,VS1,H,Ideal
8,6741,1.14,61.7,56.0,6.71,6.75,4.15,Antwerp,SI1,G,Ideal
9,1040,0.44,62.3,59.0,4.88,4.84,3.03,Las Vegas,SI1,E,Premium
10,4284,1.02,58.0,58.0,6.84,6.6,3.9,Tel Aviv,SI1,I,Premium
11,3101,0.93,62.3,57.0,6.2,6.22,3.87,Madrid,SI2,I,Ideal
12,14507,1.51,60.1,58.0,7.48,7.45,4.49,Paris,VS1,G,Premium
13,10349,1.65,61.6,55.0,7.58,7.62,4.68,Surat,SI2,H,Ideal
14,6006,1.5,57.5,63.0,7.53,7.49,4.32,Paris,SI2,G,Good
15,1207,0.43,62.1,56.0,4.85,4.87,3.02,Amsterdam,VS1,D,Ideal
16,983,0.38,60.8,61.0,4.66,4.65,2.83,Surat,VS2,G,Premium
17,3548,0.85,61.9,56.0,6.08,6.1,3.77,Luxembourg,VS1,I,Ideal
18,11078,1.53,60.7,60.0,7.45,7.41,4.51,Tel Aviv,SI2,D,Premium
19,1740,0.71,62.0,59.0,5.69,5.65,3.52,London,SI2,G,Premium
20,12932,1.3,61.3,56.0,7.03,7.06,4.32,Amsterdam,IF,G,Ideal
21,574,0.3,62.9,59.0,4.28,4.24,2.68,Madrid,SI1,G,Premium
22,2873,1.0,61.7,56.0,6.45,6.41,3.97,London,SI2,I,Ideal
23,6216,1.0,61.6,54.0,6.49,6.46,3.99,Antwerp,VS2,G,Premium
24,3568,0.9,61.7,56.0,6.16,6.09,3.78,New York City,SI1,D,Premium
25,7066,1.55,63.2,57.0,7.35,7.31,4.64,Antwerp,SI1,H,Very Good
26,3054,1.01,61.1,60.0,6.46,6.41,3.93,Antwerp,SI2,H,Premium
27,743,0.35,62.0,53.9,4.5,4.53,2.8,Amsterdam,VVS1,H,Ideal
28,6801,0.97,60.4,57.0,6.4,6.48,3.89,Zurich,VVS1,H,Ideal
29,5717,1.19,60.2,57.0,6.84,6.87,4.13,Surat,SI2,E,Ideal
30,2422,0.7,62.1,56.0,5.65,5.68,3.52,Kimberly,VS1,H,Very Good
31,2553,0.8,63.2,54.0,5.93,5.88,3.73,Kimberly,SI1,H,Very Good
32,14208,2.0,61.3,59.0,8.13,8.09,4.97,Dubai,SI2,I,Premium
33,2858,0.71,63.5,59.0,5.68,5.59,3.58,Antwerp,VS2,E,Very Good
34,5292,1.0,60.3,58.0,6.47,6.43,3.89,Zurich,SI1,F,Premium
35,1240,0.5,62.4,57.0,5.07,5.03,3.15,Surat,SI2,E,Ideal
36,2587,0.64,61.8,54.0,5.53,5.56,3.42,Antwerp,VVS2,G,Ideal
37,3648,0.8,62.2,57.0,5.95,5.98,3.71,Surat,VS2,E,Ideal
38,552,0.3,61.9,56.0,4.28,4.31,2.66,London,SI1,D,Ideal
39,866,0.38,61.8,58.0,4.61,4.64,2.86,Kimberly,VS2,E,Premium
40,625,0.31,62.1,55.0,4.33,4.37,2.7,Antwerp,VS1,G,Ideal
41,3830,1.0,55.2,64.0,6.69,6.64,3.68,New York City,SI1,H,Fair
42,3184,0.78,61.7,55.0,5.94,5.89,3.65,Surat,VS2,G,Ideal
