,price,carat,cut,color,clarity,depth,table,x,y,z,city
0,4268.0,1.21,Premium,J,VS2,62.4,58.0,6.83,6.79,4.25,Dubai
1,505.0,0.32,Very Good,H,VS2,63.0,57.0,4.35,4.38,2.75,Kimberly
2,2686.0,0.71,Fair,G,VS1,65.5,55.0,5.62,5.53,3.65,Las Vegas
3,738.0,0.41,Good,D,SI1,63.8,56.0,4.68,4.72,3.0,Kimberly
4,4882.0,1.02,Ideal,G,SI1,60.5,59.0,6.55,6.51,3.95,Dubai
5,9057.0,1.52,Ideal,F,SI2,61.2,57.0,7.45,7.39,4.54,Tel Aviv
6,8608.0,1.52,Ideal,J,VS1,62.3,58.0,7.32,7.35,4.57,Kimberly
7,557.0,0.31,Ideal,H,VS1,61.8,54.2,4.33,4.37,2.69,Zurich
8,6741.0,1.14,Ideal,G,SI1,61.7,56.0,6.71,6.75,4.15,Antwerp
9,1040.0,0.44,Premium,E,SI1,62.3,59.0,4.88,4.84,3.03,Las Vegas
10,4284.0,1.02,Premium,I,SI1,58.0,58.0,6.84,6.6,3.9,Tel Aviv
11,3101.0,0.93,Ideal,I,SI2,62.3,57.0,6.2,6.22,3.87,Madrid
12,14507.0,1.51,Premium,G,VS1,60.1,58.0,7.48,7.45,4.49,Paris
13,10349.0,1.65,Ideal,H,SI2,61.6,55.0,7.58,7.62,4.68,Surat
14,6006.0,1.5,Good,G,SI2,57.5,63.0,7.53,7.49,4.32,Paris
15,1207.0,0.43,Ideal,D,VS1,62.1,56.0,4.85,4.87,3.02,Amsterdam
16,983.0,0.38,Premium,G,VS2,60.8,61.0,4.66,4.65,2.83,Surat
17,3548.0,0.85,Ideal,I,VS1,61.9,56.0,6.08,6.1,3.77,Luxembourg
18,11078.0,1.53,Premium,D,SI2,60.7,60.0,7.45,7.41,4.51,Tel Aviv
19,1740.0,0.71,Premium,G,SI2,62.0,59.0,5.69,5.65,3.52,London
20,12932.0,1.3,Ideal,G,IF,61.3,56.0,7.03,7.06,4.32,Amsterdam
21,574.0,0.3,Premium,G,SI1,62.9,59.0,4.28,4.24,2.68,Madrid
22,2873.0,1.0,Ideal,I,SI2,61.7,56.0,6.45,6.41,3.97,London
23,6216.0,1.0,Premium,G,VS2,61.6,54.0,6.49,6.46,3.99,Antwerp
24,3568.0,0.9,Premium,D,SI1,61.7,56.0,6.16,6.09,3.78,New York City
25,7066.0,1.55,Very Good,H,SI1,63.2,57.0,7.35,7.31,4.64,Antwerp
26,3054.0,1.01,Premium,H,SI2,61.1,60.0,6.46,6.41,3.93,Antwerp
27,743.0,0.35,Ideal,H,VVS1,62.0,53.9,4.5,4.53,2.8,Amsterdam
28,6801.0,0.97,Ideal,H,VVS1,60.4,57.0,6.4,6.48,3.89,Zurich
29,5717.0,1.19,Ideal,E,SI2,60.2,57.0,6.84,6.87,4.13,Surat
30,2422.0,0.7,Very Good,H,VS1,62.1,56.0,5.65,5.68,3.52,Kimberly
31,2553.0,0.8,Very Good,H,SI1,63.2,54.0,5.93,5.88,3.73,Kimberly
32,14208.0,2.0,Premium,I,SI2,61.3,59.0,8.13,8.09,4.97,Dubai
33,2858.0,0.71,Very Good,E,VS2,63.5,59.0,5.68,5.59,3.58,Antwerp
34,5292.0,1.0,Premium,F,SI1,60.3,58.0,6.47,6.43,3.89,Zurich
35,1240.0,0.5,Ideal,E,SI2,62.4,57.0,5.07,5.03,3.15,Surat
36,2587.0,0.64,Ideal,G,VVS2,61.8,54.0,5.53,5.56,3.42,Antwerp
37,3648.0,0.8,Ideal,E,VS2,62.2,57.0,5.95,5.98,3.71,Surat
38,552.0,0.3,Ideal,D,SI1,61.9,56.0,4.28,4.31,2.66,London
39,866.0,0.38,Premium,E,VS2,61.8,58.0,4.61,4.64,2.86,Kimberly
40,625.0,0.31,Ideal,G,VS1,62.1,55.0,4.33,4.37,2.7,Antwerp
41,3830.0,1.0,Fair,H,SI1,55.2,64.0,6.69,6.64,3.68,New York City
42,3184.0,0.78,Ideal,G,VS2,61.7,55.0,5.94,5.89,3.65,Surat
43,2399.0,0.7,Very Good,H,VS1,60.3,63.0,5.77,5.73,3.47,New York City
44,513.0,0.31,Ideal,I,VS1,61.3,55.6,4.37,4.4,2.69,Surat
45,1549.0,0.52,Ideal,G,VS2,61.9,55.0,5.15,5.18,3.2,London
46,878.0,0.3,Very Good,H,VVS1,63.4,57.0,4.31,4.27,2.72,Tel Aviv
47,3679.0,1.0,Good,J,SI1,63.9,60.0,6.26,6.19,3.98,Luxembourg
48,13839.0,1.59,Ideal,H,VS1,60.7,56.0,7.54,7.58,4.59,Surat
49,5113.0,1.01,Good,G,SI1,63.7,60.0,6.32,6.28,4.01,Dubai
50,628.0,0.34,Ideal,H,SI1,62.6,56.0,4.48,4.46,2.8,Kimberly
51,816.0,0.31,Ideal,E,VVS2,60.8,57.0,4.36,4.39,2.66,Zurich
52,3434.0,0.74,Ideal,G,VS2,61.2,56.0,5.82,5.85,3.57,Kimberly
53,5455.0,1.08,Ideal,I,VS2,61.8,54.0,6.6,6.57,4.07,London
54,2898.0,0.79,Ideal,G,SI1,62.3,57.0,5.9,5.85,3.66,Dubai
55,776.0,0.3,Ideal,H,VVS2,61.5,57.0,4.34,4.31,2.66,Madrid
56,7887.0,1.33,Ideal,I,VVS2,62.2,56.0,7.01,7.04,4.37,Zurich
57,1342.0,0.58,Ideal,D,SI2,61.2,57.0,5.36,5.4,3.29,Surat
58,2440.0,0.78,Good,H,VS2,63.7,60.0,5.77,5.73,3.66,London
59,14456.0,1.65,Ideal,G,VS2,60.8,56.0,7.65,7.7,4.67,Antwerp
60,1975.0,0.55,Very Good,F,VS1,61.2,56.4,5.28,5.33,3.25,New York City
61,9801.0,1.64,Ideal,E,SI1,60.7,55.0,7.67,7.64,4.65,Dubai
62,658.0,0.3,Premium,E,VS2,62.5,59.0,4.27,4.3,2.68,New York City
63,1076.0,0.41,Ideal,D,VS2,61.7,56.0,4.81,4.78,2.96,Paris
64,752.0,0.3,Premium,D,VVS2,62.4,58.0,4.26,4.3,2.67,Antwerp
65,6121.0,1.1,Premium,G,VS2,59.6,60.0,6.72,6.7,4.0,Surat
66,4401.0,1.03,Ideal,I,SI1,63.3,57.0,6.37,6.46,4.06,Paris
67,416.0,0.3,Fair,J,VS2,64.8,58.0,4.24,4.16,2.72,Tel Aviv
68,4227.0,1.02,Premium,I,SI1,62.7,58.0,6.44,6.41,4.03,New York City
69,1915.0,0.56,Premium,E,VS2,61.8,56.0,5.31,5.28,3.27,London
70,4536.0,1.13,Premium,I,SI1,61.8,59.0,6.65,6.68,4.12,Surat
71,4157.0,1.16,Premium,H,SI2,58.8,61.0,6.93,6.84,4.05,Luxembourg
72,752.0,0.38,Very Good,F,VS2,59.7,57.0,4.73,4.79,2.84,Kimberly
73,5105.0,1.03,Premium,G,SI1,60.5,60.0,6.52,6.48,3.93,Antwerp
74,3715.0,0.9,Very Good,E,SI2,62.2,54.0,6.13,6.21,3.84,Amsterdam
75,1415.0,0.5,Very Good,D,SI1,62.8,58.0,5.02,5.05,3.16,Las Vegas
76,499.0,0.3,Ideal,F,SI1,62.2,54.2,4.31,4.34,2.69,Tel Aviv
77,2787.0,0.64,Ideal,D,VS1,61.5,56.0,5.54,5.55,3.41,Zurich
78,10485.0,1.24,Premium,G,VVS1,60.4,59.0,7.02,7.01,4.24,Luxembourg
79,3864.0,1.0,Premium,J,VVS2,59.6,61.0,6.4,6.36,3.8,Antwerp
80,593.0,0.31,Ideal,D,SI2,62.1,57.0,4.34,4.32,2.69,Surat
81,3988.0,0.93,Ideal,H,SI1,62.8,56.0,6.19,6.27,3.91,Antwerp
82,5223.0,1.06,Ideal,E,SI2,62.2,55.0,6.51,6.54,4.06,Tel Aviv
83,5226.0,1.21,Ideal,G,SI2,62.1,57.0,6.8,6.85,4.24,New York City
84,4168.0,0.92,Very Good,D,SI2,62.4,60.0,6.21,6.25,3.89,Amsterdam
85,489.0,0.31,Ideal,I,VS1,61.9,54.0,4.34,4.38,2.7,Madrid
86,18561.0,2.01,Good,H,VS2,57.8,60.0,8.29,8.35,4.81,Zurich
87,14674.0,1.51,Ideal,G,VS1,61.9,57.0,7.37,7.34,4.55,Surat
88,18358.0,1.83,Very Good,G,VS2,60.5,59.0,7.89,7.99,4.8,Luxembourg
89,933.0,0.38,Premium,F,VS1,62.4,59.0,4.57,4.63,2.87,Madrid
90,445.0,0.23,Premium,F,VVS2,61.3,59.0,3.94,3.99,2.43,Antwerp
91,3610.0,0.92,Ideal,I,SI1,62.1,55.0,6.24,6.29,3.89,Surat
92,12069.0,1.5,Premium,D,SI1,62.4,58.0,7.27,7.31,4.55,Antwerp
93,645.0,0.32,Very Good,G,VS1,62.1,55.0,4.41,4.44,2.75,Madrid
94,4372.0,1.0,Ideal,F,SI2,61.2,57.0,6.39,6.48,3.94,New York City
95,779.0,0.31,Very Good,F,VVS1,59.4,57.0,4.39,4.43,2.62,Kimberly
96,1350.0,0.52,Good,F,SI2,58.7,64.0,5.24,5.26,3.08,Paris
97,14998.0,2.01,Ideal,H,SI2,62.5,53.9,8.04,8.07,5.04,Paris
98,565.0,0.31,Ideal,G,VVS2,62.2,55.0,4.32,4.36,2.7,Surat
99,2086.0,0.77,Very Good,J,SI1,61.0,59.0,5.94,5.99,3.64,Las Vegas
100,4537.0,1.13,Very Good,H,SI2,59.8,59.0,6.75,6.82,4.06,London
101,16957.0,2.07,Premium,E,SI1,61.2,58.0,8.24,8.19,5.03,Paris
102,2443.0,0.71,Premium,G,VS2,60.3,59.0,5.79,5.76,3.48,Kimberly
103,7275.0,1.11,Ideal,F,VS2,60.4,58.0,6.73,6.66,4.04,Kimberly
104,11636.0,1.56,Ideal,H,VS2,61.5,56.0,7.5,7.46,4.6,London
105,457.0,0.34,Very Good,I,VS2,61.6,56.0,4.47,4.51,2.76,Amsterdam
106,3215.0,0.96,Premium,G,SI2,62.7,60.0,6.29,6.11,3.89,Amsterdam
107,942.0,0.31,Premium,D,VS2,62.3,55.0,4.35,4.32,2.7,New York City
108,2060.0,0.64,Very Good,G,VS1,60.4,62.0,5.54,5.58,3.36,Las Vegas
109,7882.0,1.01,Premium,F,VVS1,62.5,58.0,6.41,6.35,3.99,Kimberly
110,706.0,0.35,Ideal,H,VVS2,62.5,57.0,4.48,4.54,2.82,Antwerp
111,2373.0,0.7,Premium,F,SI2,62.5,60.0,5.66,5.61,3.52,Kimberly
112,675.0,0.3,Ideal,H,VS1,62.1,54.0,4.35,4.32,2.69,London
113,3137.0,0.71,Ideal,H,VVS1,61.1,56.0,5.78,5.81,3.53,Antwerp
114,871.0,0.31,Ideal,G,IF,61.1,57.0,4.38,4.42,2.68,Dubai
115,9072.0,2.25,Ideal,E,I1,61.4,54.0,8.52,8.46,5.21,Kimberly
116,5088.0,1.18,Premium,I,SI1,62.8,56.0,6.74,6.71,4.22,Las Vegas
117,6409.0,1.22,Very Good,G,SI2,63.2,58.0,6.82,6.76,4.29,Tel Aviv
118,12830.0,1.72,Ideal,G,VS2,62.8,57.0,7.65,7.58,4.78,Surat
119,18394.0,2.01,Ideal,F,SI2,61.7,56.0,8.12,8.16,5.02,Las Vegas
120,5581.0,1.03,Premium,G,SI1,60.1,60.0,6.55,6.52,3.93,Surat
121,5379.0,1.01,Good,E,SI1,64.3,59.0,6.23,6.28,4.02,Amsterdam
122,5242.0,1.0,Fair,H,VS1,64.6,59.0,6.3,6.26,4.06,Paris
123,10487.0,1.1,Ideal,F,VVS2,61.2,56.0,6.66,6.74,4.1,Surat
124,4208.0,0.59,Ideal,D,IF,60.9,57.0,5.4,5.43,3.3,Surat
125,608.0,0.3,Very Good,H,VS2,63.5,59.0,4.27,4.2,2.69,Surat
126,1930.0,0.56,Ideal,E,VS1,61.3,55.0,5.29,5.32,3.25,New York City
127,3936.0,0.9,Premium,F,SI1,61.7,62.0,6.19,6.13,3.8,Amsterdam
128,1732.0,0.57,Very Good,E,VS2,60.7,58.0,5.37,5.33,3.25,Madrid
129,2328.0,0.72,Ideal,D,SI2,61.2,57.0,5.76,5.8,3.54,Luxembourg
130,3511.0,1.0,Fair,H,SI1,65.5,57.0,6.26,6.21,4.08,Kimberly
131,1043.0,0.4,Ideal,G,VVS1,62.1,53.0,4.75,4.79,2.96,Zurich
132,4831.0,1.22,Premium,I,SI2,62.3,58.0,6.8,6.85,4.25,Amsterdam
133,8955.0,1.02,Ideal,G,IF,62.3,57.0,6.43,6.5,4.03,Madrid
134,5625.0,1.08,Ideal,H,VS2,61.8,56.0,6.59,6.55,4.06,New York City
135,1052.0,0.33,Premium,G,IF,60.8,58.0,4.46,4.42,2.7,Kimberly
136,1167.0,0.42,Very Good,E,VVS2,59.8,56.0,4.9,4.92,2.94,Amsterdam
137,2088.0,0.58,Ideal,F,VS1,62.1,56.0,5.38,5.32,3.32,London
138,4964.0,1.02,Good,G,SI1,63.6,58.0,6.34,6.39,4.05,London
139,6937.0,1.19,Good,E,VS2,57.4,60.0,6.9,7.0,3.99,Paris
140,15394.0,2.01,Good,D,SI2,64.6,55.0,7.85,7.98,5.11,Dubai
141,4915.0,1.15,Very Good,F,SI2,63.1,63.0,6.67,6.57,4.18,Luxembourg
142,2853.0,0.79,Premium,D,SI2,60.0,60.0,6.07,6.03,3.63,Amsterdam
143,842.0,0.32,Premium,D,VS2,62.9,59.0,4.39,4.36,2.75,Amsterdam
144,749.0,0.31,Ideal,F,VS2,61.6,56.0,4.38,4.35,2.69,Tel Aviv
145,1813.0,0.54,Very Good,F,VS1,61.0,58.0,5.24,5.25,3.2,Kimberly
146,1627.0,0.5,Very Good,D,VS2,62.8,60.0,5.02,5.08,3.17,Kimberly
147,5447.0,1.04,Very Good,H,VS2,60.9,58.0,6.5,6.6,3.99,Paris
148,10581.0,1.41,Ideal,G,VS2,60.8,55.0,7.27,7.2,4.4,Las Vegas
149,499.0,0.3,Ideal,E,SI1,61.6,54.0,4.32,4.35,2.67,Tel Aviv
150,610.0,0.33,Ideal,H,VS1,61.6,55.0,4.46,4.48,2.75,Antwerp
151,372.0,0.31,Ideal,I,SI2,62.0,54.1,4.32,4.35,2.69,Kimberly
152,3344.0,0.91,Good,G,SI1,64.3,60.0,6.04,6.12,3.91,Antwerp
153,2083.0,0.75,Very Good,J,SI1,62.4,56.0,5.78,5.82,3.62,Tel Aviv
154,886.0,0.3,Very Good,F,IF,62.1,57.0,4.26,4.3,2.66,Surat
155,1582.0,0.41,Ideal,D,VVS1,60.6,57.0,4.82,4.79,2.91,Luxembourg
156,3083.0,1.01,Premium,H,SI2,59.4,62.0,6.47,6.43,3.83,Surat
157,7657.0,1.02,Very Good,G,VVS1,63.0,58.0,6.4,6.43,4.04,Tel Aviv
158,527.0,0.27,Ideal,G,VS1,62.3,53.0,4.16,4.19,2.6,Las Vegas
159,2196.0,0.7,Very Good,F,SI1,62.6,56.0,5.66,5.72,3.56,Madrid
160,9297.0,1.51,Ideal,I,VS2,62.3,57.0,7.28,7.37,4.56,Surat
161,13703.0,2.22,Ideal,J,SI2,62.8,57.0,8.33,8.29,5.22,Madrid
162,5283.0,1.23,Premium,D,SI2,58.9,58.0,6.99,6.97,4.11,Amsterdam
163,3795.0,0.9,Good,E,SI1,63.9,57.0,6.12,6.08,3.9,London
164,2882.0,0.88,Fair,F,SI1,56.6,65.0,6.39,6.32,3.6,Madrid
165,2208.0,0.7,Fair,G,SI2,58.6,56.0,5.8,5.74,3.38,Paris
166,558.0,0.31,Premium,H,SI1,62.7,58.0,4.34,4.31,2.71,Zurich
167,6371.0,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,Amsterdam
168,4242.0,1.01,Premium,G,SI2,59.1,59.0,6.55,6.51,3.86,Tel Aviv
169,487.0,0.28,Very Good,E,VS1,59.5,59.0,4.29,4.35,2.57,London
170,1227.0,0.51,Premium,F,SI2,61.1,59.0,5.15,5.09,3.13,Kimberly
171,1232.0,0.52,Ideal,I,VS2,61.9,58.0,5.14,5.17,3.19,Surat
172,2153.0,0.52,Premium,G,VVS1,59.2,58.0,5.31,5.28,3.14,Zurich
173,447.0,0.3,Good,D,SI2,63.3,57.0,4.26,4.3,2.71,Kimberly
174,1241.0,0.42,Premium,D,VVS2,62.8,59.0,4.76,4.73,2.98,Zurich
175,14749.0,1.82,Premium,H,VS2,61.6,60.0,7.78,7.74,4.78,Kimberly
176,2845.0,0.7,Very Good,E,VS2,58.9,60.0,5.83,5.85,3.44,Surat
177,12207.0,1.37,Ideal,G,VVS2,62.3,55.5,7.05,7.14,4.43,New York City
178,4095.0,1.0,Premium,G,SI2,62.7,59.0,6.3,6.36,3.97,Luxembourg
179,5722.0,1.2,Ideal,G,SI2,61.1,57.0,6.83,6.86,4.18,Kimberly
180,7964.0,1.01,Premium,E,VS1,62.0,59.0,6.42,6.38,3.97,Antwerp
181,1035.0,0.5,Ideal,H,SI1,61.7,58.0,5.07,5.11,3.14,London
182,7744.0,1.0,Premium,E,VS1,60.4,59.0,6.51,6.54,3.94,Surat
183,1061.0,0.31,Ideal,F,IF,61.4,56.0,4.38,4.41,2.7,Las Vegas
184,845.0,0.4,Very Good,D,VS2,63.3,58.0,4.63,4.66,2.94,Amsterdam
185,2964.0,1.05,Premium,E,I1,61.4,58.0,6.53,6.46,3.99,Amsterdam
186,5821.0,1.05,Premium,G,VS2,61.9,59.0,6.56,6.52,4.05,Las Vegas
187,6028.0,1.0,Good,G,VS1,63.9,55.0,6.34,6.28,4.03,Luxembourg
188,658.0,0.3,Very Good,E,VS2,62.4,57.0,4.24,4.26,2.65,Paris
189,7492.0,1.0,Good,G,VVS2,60.9,56.0,6.49,6.52,3.96,Kimberly
190,462.0,0.31,Very Good,G,SI1,63.0,56.0,4.3,4.34,2.72,Surat
191,435.0,0.31,Premium,G,VS2,61.8,58.0,4.35,4.39,2.7,Amsterdam
192,1646.0,0.6,Ideal,F,SI1,61.5,58.0,5.38,5.41,3.32,London
193,710.0,0.3,Very Good,D,VS2,62.6,61.0,4.22,4.25,2.65,Kimberly
194,1230.0,0.41,Ideal,G,VVS1,62.1,55.0,4.79,4.74,2.96,Surat
195,621.0,0.33,Premium,G,VS1,60.3,58.0,4.5,4.52,2.72,Antwerp
196,2895.0,0.7,Very Good,F,VS1,61.8,59.0,5.66,5.76,3.53,London
197,707.0,0.28,Very Good,E,VVS1,62.1,57.0,4.17,4.21,2.6,Las Vegas
198,1995.0,0.7,Very Good,I,VS1,63.3,55.0,5.64,5.6,3.56,Antwerp
199,952.0,0.35,Ideal,D,VS1,60.8,57.0,4.61,4.57,2.79,Surat
200,5622.0,1.0,Ideal,G,SI1,61.0,57.0,6.47,6.44,3.94,Kimberly
201,3634.0,1.0,Fair,G,SI1,43.0,59.0,6.32,6.27,3.97,Zurich
202,4844.0,1.0,Very Good,G,SI1,62.6,59.0,6.29,6.33,3.95,Surat
203,4177.0,1.03,Good,D,SI2,57.6,58.0,6.6,6.67,3.82,Dubai
