price,carat,depth,table,x,y,z
4268,1.21,62.4,58.0,6.83,6.79,4.25
3513,1.02,61.6,58.0,6.4,6.35,3.93
1792,0.77,62.3,58.0,5.86,5.8,3.63
7553,1.51,59.6,60.0,7.58,7.48,4.49
1176,0.57,60.2,62.0,5.4,5.33,3.23
1654,0.73,62.8,58.0,5.77,5.71,3.6
6629,1.57,59.9,57.0,7.56,7.52,4.52
4839,1.2,60.8,60.0,6.85,6.89,4.18
1253,0.62,61.2,59.0,5.52,5.42,3.35
3685,1.0,60.7,61.0,6.5,6.41,3.92
3535,1.01,59.8,61.0,6.47,6.43,3.86
3790,1.0,60.3,58.0,6.49,6.44,3.9
5264,1.25,62.0,59.0,6.9,6.87,4.27
18701,3.51,62.5,59.0,9.66,9.63,6.03
1968,0.71,60.1,61.0,5.82,5.77,3.48
1944,0.72,60.2,59.0,5.85,5.81,3.51
13552,2.0,61.5,59.0,8.06,8.11,4.97
13400,2.01,60.5,60.0,8.13,8.09,4.91
18692,2.43,62.2,57.0,8.63,8.54,5.34
16273,2.38,62.6,59.0,8.52,8.49,5.32
3685,1.0,62.0,62.0,6.42,6.35,3.96
4145,1.05,61.1,58.0,6.56,6.51,3.99
4224,1.07,62.8,57.0,6.54,6.49,4.09
7758,1.52,62.0,59.0,7.28,7.31,4.52
4338,1.23,58.0,61.0,7.07,7.03,4.09
454,0.37,61.1,60.0,4.6,4.63,2.82
1940,0.77,62.1,62.0,5.87,5.82,3.63
765,0.4,62.5,60.0,4.71,4.67,2.93
7418,1.51,59.6,60.0,7.48,7.58,4.49
2129,0.81,60.6,60.0,6.04,6.0,3.65
488,0.31,62.3,60.0,4.34,4.29,2.69
4702,1.16,62.2,59.0,6.74,6.69,4.18
727,0.38,60.5,60.0,4.68,4.64,2.82
5173,1.26,62.0,60.0,7.0,6.86,4.3
5170,1.25,62.0,59.0,6.87,6.9,4.27
13800,2.07,61.5,59.0,8.2,8.16,5.03
2045,0.8,62.7,61.0,5.89,5.84,3.68
746,0.39,61.3,60.0,4.68,4.65,2.86
3751,1.25,59.8,58.0,7.02,6.96,4.18
5107,1.26,62.5,58.0,6.92,6.9,4.32
4611,1.2,61.8,59.0,6.84,6.76,4.2
5026,1.24,61.4,59.0,6.91,6.83,4.22
1940,0.7,61.2,60.0,5.73,5.7,3.5
4968,1.21,61.9,58.0,6.84,6.79,4.22
2295,0.85,60.7,58.0,6.12,6.08,3.71
3694,1.21,59.0,60.0,6.93,6.88,4.07
368,0.3,62.2,58.0,4.28,4.3,2.67
3296,1.01,62.4,60.0,6.45,6.35,3.99
13600,2.04,61.4,59.0,8.14,8.04,4.97
5053,1.2,62.6,57.0,6.8,6.72,4.23
15465,2.18,60.1,58.0,8.46,8.41,5.07
7553,1.51,62.8,59.0,7.28,7.2,4.55
13744,2.01,60.4,59.0,8.15,8.1,4.91
6202,1.54,59.3,59.0,7.54,7.5,4.46
4986,1.23,62.9,59.0,6.85,6.8,4.29
3722,1.01,61.0,61.0,6.28,6.22,3.81
15110,2.13,59.6,59.0,8.43,8.37,5.01
8364,1.74,61.9,62.0,7.62,7.54,4.7
11209,2.04,60.9,59.0,8.25,8.21,5.01
7811,1.59,62.6,59.0,7.43,7.45,4.66
581,0.39,61.3,60.0,4.65,4.68,2.86
18615,2.42,61.3,59.0,8.61,8.58,5.27
4715,1.2,60.3,59.0,6.9,6.94,4.17
5265,1.24,61.8,57.6,6.84,6.88,4.24
3593,1.05,59.4,62.0,6.66,6.58,3.93
